Pos,Team,Pts,Year,Constructor
1,Vanwall,48.0,1958,Vanwall
2,Ferrari,40.0,1958,Ferrari
3,Cooper Climax,31.0,1958,Cooper
4,BRM,18.0,1958,BRM
5,Maserati,6.0,1958,Maserati
6,Lotus Climax,3.0,1958,Lotus
1,Cooper Climax,40.0,1959,Cooper
2,Ferrari,32.0,1959,Ferrari
3,BRM,18.0,1959,BRM
4,Lotus Climax,5.0,1959,Lotus
1,Cooper Climax,48.0,1960,Cooper
2,Lotus Climax,34.0,1960,Lotus
3,Ferrari,26.0,1960,Ferrari
4,BRM,8.0,1960,BRM
5,Cooper Maserati,3.0,1960,Cooper
5,Cooper Castellotti,3.0,1960,Cooper
1,Ferrari,40.0,1961,Ferrari
2,Lotus Climax,32.0,1961,Lotus
3,Porsche,22.0,1961,Porsche
4,Cooper Climax,14.0,1961,Cooper
5,BRM Climax,7.0,1961,BRM
1,BRM,42.0,1962,BRM
2,Lotus Climax,36.0,1962,Lotus
3,Cooper Climax,29.0,1962,Cooper
4,Lola Climax,19.0,1962,Lola
5,Porsche,18.0,1962,Porsche
5,Ferrari,18.0,1962,Ferrari
7,Brabham Climax,6.0,1962,Brabham
8,Lotus BRM,1.0,1962,Lotus
1,Lotus Climax,54.0,1963,Lotus
2,BRM,36.0,1963,BRM
3,Brabham Climax,28.0,1963,Brabham
4,Ferrari,26.0,1963,Ferrari
5,Cooper Climax,25.0,1963,Cooper
6,BRP BRM,6.0,1963,BRM
7,Porsche,5.0,1963,Porsche
8,Lotus BRM,4.0,1963,Lotus
1,Ferrari,45.0,1964,Ferrari
2,BRM,42.0,1964,BRM
3,Lotus Climax,37.0,1964,Lotus
4,Brabham Climax,30.0,1964,Brabham
5,Cooper Climax,16.0,1964,Cooper
6,Brabham BRM,7.0,1964,Brabham
7,BRP BRM,5.0,1964,BRM
8,Lotus BRM,3.0,1964,Lotus
1,Lotus Climax,54.0,1965,Lotus
2,BRM,45.0,1965,BRM
3,Brabham Climax,27.0,1965,Brabham
4,Ferrari,26.0,1965,Ferrari
5,Cooper Climax,14.0,1965,Cooper
6,Honda,11.0,1965,Honda
7,Brabham BRM,5.0,1965,Brabham
8,Lotus BRM,2.0,1965,Lotus
1,Brabham Repco,42.0,1966,Brabham
2,Ferrari,31.0,1966,Ferrari
3,Cooper Maserati,30.0,1966,Cooper
4,BRM,22.0,1966,BRM
5,Lotus BRM,13.0,1966,Lotus
6,Lotus Climax,8.0,1966,Lotus
7,Eagle Climax,4.0,1966,Eagle
8,Honda,3.0,1966,Honda
9,McLaren Ford,2.0,1966,McLaren
10,Brabham BRM,1.0,1966,Brabham
10,McLaren Serenissima,1.0,1966,McLaren
10,Brabham Climax,1.0,1966,Brabham
1,Brabham Repco,63.0,1967,Brabham
2,Lotus Ford,44.0,1967,Lotus
3,Cooper Maserati,28.0,1967,Cooper
4,Honda,20.0,1967,Honda
4,Ferrari,20.0,1967,Ferrari
6,BRM,17.0,1967,BRM
7,Eagle Weslake,13.0,1967,Eagle
8,Cooper Climax,6.0,1967,Cooper
8,Lotus BRM,6.0,1967,Lotus
10,McLaren BRM,3.0,1967,McLaren
11,Brabham Climax,2.0,1967,Brabham
1,Lotus Ford,62.0,1968,Lotus
2,McLaren Ford,49.0,1968,McLaren
3,Matra Ford,45.0,1968,Matra
4,Ferrari,32.0,1968,Ferrari
5,BRM,28.0,1968,BRM
6,Honda,14.0,1968,Honda
6,Cooper BRM,14.0,1968,Cooper
8,Brabham Repco,10.0,1968,Brabham
9,Matra,8.0,1968,Matra
10,Mclaren BRM,3.0,1968,Mclaren BRM
1,Matra Ford,66.0,1969,Matra
2,Brabham Ford,49.0,1969,Brabham
3,Lotus Ford,47.0,1969,Lotus
4,McLaren Ford,38.0,1969,McLaren
5,Ferrari,7.0,1969,Ferrari
5,BRM,7.0,1969,BRM
1,Lotus Ford,59.0,1970,Lotus
2,Ferrari,52.0,1970,Ferrari
3,March Ford,48.0,1970,March
4,Brabham Ford,35.0,1970,Brabham
4,McLaren Ford,35.0,1970,McLaren
6,BRM,23.0,1970,BRM
6,Matra,23.0,1970,Matra
8,Surtees Ford,3.0,1970,Surtees Ford
1,Tyrrell Ford,73.0,1971,Tyrrell
2,BRM,36.0,1971,BRM
3,Ferrari,33.0,1971,Ferrari
3,March Ford,33.0,1971,March
5,Lotus Ford,21.0,1971,Lotus
6,McLaren Ford,10.0,1971,McLaren
7,Matra,9.0,1971,Matra
8,Surtees Ford,8.0,1971,Surtees Ford
9,Brabham Ford,5.0,1971,Brabham
1,Lotus Ford,61.0,1972,Lotus
2,Tyrrell Ford,51.0,1972,Tyrrell
3,McLaren Ford,47.0,1972,McLaren
4,Ferrari,33.0,1972,Ferrari
5,Surtees Ford,18.0,1972,Surtees Ford
6,March Ford,15.0,1972,March
7,BRM,14.0,1972,BRM
8,Matra,12.0,1972,Matra
9,Brabham Ford,7.0,1972,Brabham
1,Lotus Ford,92.0,1973,Lotus
2,Tyrrell Ford,82.0,1973,Tyrrell
3,McLaren Ford,58.0,1973,McLaren
4,Brabham Ford,22.0,1973,Brabham
5,March Ford,14.0,1973,March
6,Ferrari,12.0,1973,Ferrari
6,BRM,12.0,1973,BRM
8,Shadow Ford,9.0,1973,Shadow Ford
9,Surtees Ford,7.0,1973,Surtees Ford
10,Iso Marlboro Ford,2.0,1973,Iso Marlboro Ford
11,Tecno,1.0,1973,Tecno
1,McLaren Ford,73.0,1974,McLaren
2,Ferrari,65.0,1974,Ferrari
3,Tyrrell Ford,52.0,1974,Tyrrell
4,Lotus Ford,42.0,1974,Lotus
5,Brabham Ford,35.0,1974,Brabham
6,Hesketh Ford,15.0,1974,Hesketh Ford
7,BRM,10.0,1974,BRM
8,Shadow Ford,7.0,1974,Shadow Ford
9,March Ford,6.0,1974,March
10,Iso Marlboro Ford,4.0,1974,Iso Marlboro Ford
11,Surtees Ford,3.0,1974,Surtees Ford
12,Lola Ford,1.0,1974,Lola
1,Ferrari,72.5,1975,Ferrari
2,Brabham Ford,54.0,1975,Brabham
3,McLaren Ford,53.0,1975,McLaren
4,Hesketh Ford,33.0,1975,Hesketh Ford
5,Tyrrell Ford,25.0,1975,Tyrrell
6,Shadow Ford,9.5,1975,Shadow Ford
7,Lotus Ford,9.0,1975,Lotus
8,March Ford,7.5,1975,March
9,Frank Williams Racing Cars/Williams,6.0,1975,Williams
10,Parnelli Ford,5.0,1975,Parnelli Ford
11,Hill Ford,3.0,1975,Hill Ford
12,Penske Ford,2.0,1975,Penske Ford
13,Ensign Ford,1.0,1975,Ensign Ford
1,Ferrari,83.0,1976,Ferrari
2,McLaren Ford,74.0,1976,McLaren
3,Tyrrell Ford,71.0,1976,Tyrrell
4,Lotus Ford,29.0,1976,Lotus
5,Penske Ford,20.0,1976,Penske Ford
5,Ligier Matra,20.0,1976,Ligier
7,March Ford,19.0,1976,March
8,Shadow Ford,10.0,1976,Shadow Ford
9,Brabham Alfa Romeo,9.0,1976,Brabham
10,Surtees Ford,7.0,1976,Surtees Ford
11,Fittipaldi Ford,3.0,1976,Fittipaldi Ford
12,Ensign Ford,2.0,1976,Ensign Ford
13,Parnelli Ford,1.0,1976,Parnelli Ford
1,Ferrari,95.0,1977,Ferrari
2,Lotus Ford,62.0,1977,Lotus
3,McLaren Ford,60.0,1977,McLaren
4,Wolf Ford,55.0,1977,Wolf Ford
5,Brabham Alfa Romeo,27.0,1977,Brabham
5,Tyrrell Ford,27.0,1977,Tyrrell
7,Shadow Ford,23.0,1977,Shadow Ford
8,Ligier Matra,18.0,1977,Ligier
9,Fittipaldi Ford,11.0,1977,Fittipaldi Ford
10,Ensign Ford,10.0,1977,Ensign Ford
11,Surtees Ford,6.0,1977,Surtees Ford
12,Penske Ford,1.0,1977,Penske Ford
1,Lotus Ford,86.0,1978,Lotus
2,Ferrari,58.0,1978,Ferrari
3,Brabham Alfa Romeo,53.0,1978,Brabham
4,Tyrrell Ford,38.0,1978,Tyrrell
5,Wolf Ford,24.0,1978,Wolf Ford
6,Ligier Matra,19.0,1978,Ligier
7,Fittipaldi Ford,17.0,1978,Fittipaldi Ford
8,McLaren Ford,15.0,1978,McLaren
9,Williams Ford,11.0,1978,Williams
9,Arrows Ford,11.0,1978,Arrows
11,Shadow Ford,6.0,1978,Shadow Ford
12,Renault,3.0,1978,Renault
13,Surtees Ford,1.0,1978,Surtees Ford
13,Ensign Ford,1.0,1978,Ensign Ford
1,Ferrari,113.0,1979,Ferrari
2,Williams Ford,75.0,1979,Williams
3,Ligier Ford,61.0,1979,Ligier
4,Lotus Ford,39.0,1979,Lotus
5,Tyrrell Ford,28.0,1979,Tyrrell
6,Renault,26.0,1979,Renault
7,McLaren Ford,15.0,1979,McLaren
8,Brabham Ford,7.0,1979,Brabham
9,Arrows Ford,5.0,1979,Arrows
10,Shadow Ford,3.0,1979,Shadow Ford
11,ATS Ford,2.0,1979,ATS Ford
12,Fittipaldi Ford,1.0,1979,Fittipaldi Ford
1,Williams Ford,120.0,1980,Williams
2,Ligier Ford,66.0,1980,Ligier
3,Brabham Ford,55.0,1980,Brabham
4,Renault,38.0,1980,Renault
5,Lotus Ford,14.0,1980,Lotus
6,Tyrrell Ford,12.0,1980,Tyrrell
7,Arrows Ford,11.0,1980,Arrows
7,Fittipaldi Ford,11.0,1980,Fittipaldi Ford
7,McLaren Ford,11.0,1980,McLaren
10,Ferrari,8.0,1980,Ferrari
11,Alfa Romeo,4.0,1980,Alfa Romeo
1,Williams Ford,95.0,1981,Williams
2,Brabham Ford,61.0,1981,Brabham
3,Renault,54.0,1981,Renault
4,Ligier Matra,44.0,1981,Ligier
5,Ferrari,34.0,1981,Ferrari
6,McLaren Ford,28.0,1981,McLaren
7,Lotus Ford,22.0,1981,Lotus
8,Arrows Ford,10.0,1981,Arrows
8,Alfa Romeo,10.0,1981,Alfa Romeo
8,Tyrrell Ford,10.0,1981,Tyrrell
11,Ensign Ford,5.0,1981,Ensign Ford
12,Theodore Ford,1.0,1981,Theodore Ford
12,ATS Ford,1.0,1981,ATS Ford
1,Ferrari,74.0,1982,Ferrari
2,McLaren Ford,69.0,1982,McLaren
3,Renault,62.0,1982,Renault
4,Williams Ford,58.0,1982,Williams
5,Lotus Ford,30.0,1982,Lotus
6,Tyrrell Ford,25.0,1982,Tyrrell
7,Brabham BMW,22.0,1982,Brabham
8,Ligier Matra,20.0,1982,Ligier
9,Brabham Ford,19.0,1982,Brabham
10,Alfa Romeo,7.0,1982,Alfa Romeo
11,Arrows Ford,5.0,1982,Arrows
12,ATS Ford,4.0,1982,ATS Ford
13,Osella Ford,3.0,1982,Osella
14,Fittipaldi Ford,1.0,1982,Fittipaldi Ford
1,Ferrari,89.0,1983,Ferrari
2,Renault,79.0,1983,Renault
3,Brabham BMW,72.0,1983,Brabham
4,Williams Ford,36.0,1983,Williams
5,McLaren Ford,34.0,1983,McLaren
6,Alfa Romeo,18.0,1983,Alfa Romeo
7,Tyrrell Ford,12.0,1983,Tyrrell
8,Lotus Renault,11.0,1983,Lotus
9,Toleman Hart,10.0,1983,Toleman Hart
10,Arrows Ford,4.0,1983,Arrows
11,Williams Honda,2.0,1983,Williams
12,Theodore Ford,1.0,1983,Theodore Ford
13,Lotus Ford,1.0,1983,Lotus
1,McLaren TAG,143.5,1984,McLaren
2,Ferrari,57.5,1984,Ferrari
3,Lotus Renault,47.0,1984,Lotus
4,Brabham BMW,38.0,1984,Brabham
5,Renault,34.0,1984,Renault
6,Williams Honda,25.5,1984,Williams
7,Toleman Hart,16.0,1984,Toleman Hart
8,Alfa Romeo,11.0,1984,Alfa Romeo
9,Arrows BMW,3.0,1984,Arrows
10,Ligier Renault,3.0,1984,Ligier
11,Arrows Ford,3.0,1984,Arrows
12,Osella Alfa Romeo,2.0,1984,Osella
1,McLaren TAG,90.0,1985,McLaren
2,Ferrari,82.0,1985,Ferrari
3,Lotus Renault,71.0,1985,Lotus
4,Williams Honda,71.0,1985,Williams
5,Brabham BMW,26.0,1985,Brabham
6,Ligier Renault,23.0,1985,Ligier
7,Renault,16.0,1985,Renault
8,Arrows BMW,14.0,1985,Arrows
9,Tyrrell Ford,4.0,1985,Tyrrell
10,Tyrrell Renault,3.0,1985,Tyrrell
1,Williams Honda,141.0,1986,Williams
2,McLaren TAG,96.0,1986,McLaren
3,Lotus Renault,58.0,1986,Lotus
4,Ferrari,37.0,1986,Ferrari
5,Ligier Renault,29.0,1986,Ligier
