Pos,Driver,Nationality,Car,Pts,Year
1,Nino FarinaFAR,ITA,Alfa Romeo,30.0,1950
2,Juan Manuel FangioFAN,ARG,Alfa Romeo,27.0,1950
3,Luigi FagioliFAG,ITA,Alfa Romeo,24.0,1950
4,Louis RosierROS,FRA,Talbot-Lago,13.0,1950
5,Alberto AscariASC,ITA,,11.0,1950
6,Johnnie ParsonsPAR,USA,Kurtis Kraft Offenhauser,9.0,1950
7,Bill HollandHOL,USA,Deidt Offenhauser,6.0,1950
8,Prince BiraBIR,THA,Maserati,5.0,1950
9,Reg ParnellPAR,GBR,Maserati,4.0,1950
9,Louis ChironCHI,MON,Maserati,4.0,1950
9,Mauri RoseROS,USA,Deidt Offenhauser,4.0,1950
9,Peter WhiteheadWHI,GBR,Ferrari,4.0,1950
13,Yves Giraud-CabantousGIR,FRA,Talbot-Lago,3.0,1950
13,Raymond SommerSOM,FRA,Talbot-Lago,3.0,1950
13,Cecil GreenGRE,USA,Kurtis Kraft Offenhauser,3.0,1950
13,Robert ManzonMAN,FRA,Simca-Gordini,3.0,1950
13,Dorino SerafiniSER,ITA,,3.0,1950
13,Philippe EtancelinETA,FRA,,3.0,1950
19,Felice BonettoBON,ITA,Milano Speluzzi,2.0,1950
20,Tony BettenhausenBET,USA,Deidt Offenhauser,1.0,1950
20,Joie ChitwoodCHI,USA,Kurtis Kraft Offenhauser,1.0,1950
20,Eugene ChaboudCHA,FRA,,1.0,1950
1,Juan Manuel FangioFAN,ARG,Alfa Romeo,31.0,1951
2,Alberto AscariASC,ITA,Ferrari,25.0,1951
3,Jose Froilan GonzalezGON,ARG,,24.0,1951
4,Nino FarinaFAR,ITA,Alfa Romeo,19.0,1951
5,Luigi VilloresiVIL,ITA,Ferrari,15.0,1951
6,Piero TaruffiTAR,ITA,Ferrari,10.0,1951
7,Lee WallardWAL,USA,Kurtis Kraft Offenhauser,9.0,1951
8,Felice BonettoBON,ITA,Alfa Romeo,7.0,1951
9,Mike NazarukNAZ,USA,Kurtis Kraft Offenhauser,6.0,1951
10,Reg ParnellPAR,GBR,BRM,5.0,1951
11,Luigi FagioliFAG,ITA,Alfa Romeo,4.0,1951
12,Consalvo SanesiSAN,ITA,Alfa Romeo,3.0,1951
12,Andy LindenLIN,USA,Sherman Offenhauser,3.0,1951
12,Louis RosierROS,FRA,,3.0,1951
15,Toulo de GraffenriedDEG,SUI,Alfa Romeo,2.0,1951
15,Manny AyuloAYU,USA,Kurtis Kraft Offenhauser,2.0,1951
15,Bobby BallBAL,USA,Schroeder Offenhauser,2.0,1951
15,Jack McGrathMCG,USA,Kurtis Kraft Offenhauser,2.0,1951
15,Yves Giraud-CabantousGIR,FRA,,2.0,1951
1,Alberto AscariASC,ITA,Ferrari,36.0,1952
2,Nino FarinaFAR,ITA,Ferrari,24.0,1952
3,Piero TaruffiTAR,ITA,Ferrari,22.0,1952
4,Rudi Fischer FIS,SUI,Ferrari,10.0,1952
4,Mike HawthornHAW,GBR,Cooper Bristol,10.0,1952
6,Robert ManzonMAN,FRA,Gordini,9.0,1952
7,Troy RuttmanRUT,USA,Kuzma Offenhauser,8.0,1952
7,Luigi VilloresiVIL,ITA,Ferrari,8.0,1952
9,Jose Froilan GonzalezGON,ARG,Maserati,6.5,1952
10,Jim RathmannRAT,USA,Kurtis Kraft Offenhauser,6.0,1952
10,Jean BehraBEH,FRA,Gordini,6.0,1952
12,Sam HanksHAN,USA,Kurtis Kraft Offenhauser,4.0,1952
13,Ken WhartonWHA,GBR,,3.0,1952
13,Duane CarterCAR,USA,Lesovsky Offenhauser,3.0,1952
13,Dennis PoorePOO,GBR,Connaught Lea Francis,3.0,1952
16,Alan BrownBRO,GBR,Cooper Bristol,2.0,1952
16,Art CrossCRO,USA,Kurtis Kraft Offenhauser,2.0,1952
16,Paul FrereFRE,BEL,Simca-Gordini,2.0,1952
16,Maurice TrintignantTRI,FRA,Gordini,2.0,1952
16,Eric ThompsonTHO,GBR,Connaught Lea Francis,2.0,1952
16,Felice BonettoBON,ITA,Maserati,2.0,1952
