Grand Prix,Driver,Car,Time,Year
Great Britain,Nino FarinaFAR,Alfa Romeo,1:50.600,1950
Monaco,Juan Manuel FangioFAN,Alfa Romeo,1:51.000,1950
Indianapolis,Johnnie ParsonsPAR,Kurtis Kraft Offenhauser,,1950
Switzerland,Nino FarinaFAR,Alfa Romeo,2:41.600,1950
Belgium,Nino FarinaFAR,Alfa Romeo,4:34.100,1950
France,Juan Manuel FangioFAN,Alfa Romeo,2:35.600,1950
Italy,Juan Manuel FangioFAN,Alfa Romeo,2:00.000,1950
Switzerland,Juan Manuel FangioFAN,Alfa Romeo,2:51.100,1951
Indianapolis,Lee WallardWAL,Kurtis Kraft Offenhauser,1:07.260,1951
Belgium,Juan Manuel FangioFAN,Alfa Romeo,4:22.100,1951
France,Juan Manuel FangioFAN,Alfa Romeo,2:27.800,1951
Great Britain,Nino FarinaFAR,Alfa Romeo,1:44.000,1951
Germany,Juan Manuel FangioFAN,Alfa Romeo,9:55.800,1951
Italy,Nino FarinaFAR,Alfa Romeo,1:56.500,1951
Spain,Juan Manuel FangioFAN,Alfa Romeo,2:16.930,1951
Switzerland,Piero TaruffiTAR,Ferrari,2:49.100,1952
Indianapolis,Bill Vukovich VUK,Kurtis Kraft Offenhauser,1:06.600,1952
Belgium,Alberto AscariASC,Ferrari,4:55.000,1952
France,Alberto AscariASC,Ferrari,2:17.300,1952
Great Britain,Alberto AscariASC,Ferrari,1:52.000,1952
Germany,Alberto AscariASC,Ferrari,10:05.100,1952
Netherlands,Alberto AscariASC,Ferrari,1:49.800,1952
Italy,Alberto AscariASC,Ferrari,2:06.100,1952
Argentina,Alberto AscariASC,Ferrari,1:48.400,1953
Indianapolis,Bill Vukovich VUK,Kurtis Kraft Offenhauser,1:06.240,1953
Netherlands,Luigi VilloresiVIL,Ferrari,1:52.800,1953
Belgium,Jose Froilan GonzalezGON,Maserati,4:34.000,1953
France,Juan Manuel FangioFAN,Maserati,2:41.100,1953
Great Britain,Alberto AscariASC,Ferrari,1:50.000,1953
Germany,Alberto AscariASC,Ferrari,9:56.000,1953
Switzerland,Alberto AscariASC,Ferrari,2:41.300,1953
Italy,Juan Manuel FangioFAN,Maserati,2:04.500,1953
Argentina,Jose Froilan GonzalezGON,Ferrari,1:48.200,1954
